MATCHUP,GAME_ID,SEASON
04/07/2018 Pelicans at Warriors,0021701195,2017-18
04/06/2018 Pelicans at Suns,0021701189,2017-18
04/04/2018 Grizzlies at Pelicans,0021701173,2017-18
04/01/2018 Thunder at Pelicans,0021701150,2017-18
03/30/2018 Pelicans at Cavaliers,0021701131,2017-18
03/27/2018 Trail Blazers at Pelicans,0021701112,2017-18
03/24/2018 Pelicans at Rockets,0021701091,2017-18
03/22/2018 Lakers at Pelicans,0021701075,2017-18
03/21/2018 Pacers at Pelicans,0021700809,2017-18
03/20/2018 Mavericks at Pelicans,0021701061,2017-18
03/18/2018 Celtics at Pelicans,0021701047,2017-18
03/17/2018 Rockets at Pelicans,0021701036,2017-18
03/15/2018 Pelicans at Spurs,0021701025,2017-18
03/13/2018 Hornets at Pelicans,0021701011,2017-18
03/11/2018 Jazz at Pelicans,0021700995,2017-18
03/09/2018 Wizards at Pelicans,0021700982,2017-18
03/07/2018 Pelicans at Kings,0021700969,2017-18
03/06/2018 Pelicans at Clippers,0021700964,2017-18
03/04/2018 Pelicans at Mavericks,0021700946,2017-18
02/28/2018 Pelicans at Spurs,0021700920,2017-18
02/26/2018 Suns at Pelicans,0021700902,2017-18
02/25/2018 Pelicans at Bucks,0021700893,2017-18
02/23/2018 Heat at Pelicans,0021700879,2017-18
02/14/2018 Lakers at Pelicans,0021700862,2017-18
02/12/2018 Pelicans at Pistons,0021700841,2017-18
02/10/2018 Pelicans at Nets,0021700826,2017-18
02/09/2018 Pelicans at 76ers,0021700818,2017-18
02/05/2018 Jazz at Pelicans,0021700793,2017-18
02/03/2018 Pelicans at Timberwolves,0021700780,2017-18
02/02/2018 Pelicans at Thunder,0021700772,2017-18
01/30/2018 Kings at Pelicans,0021700749,2017-18
01/28/2018 Clippers at Pelicans,0021700733,2017-18
01/26/2018 Rockets at Pelicans,0021700720,2017-18
01/24/2018 Pelicans at Hornets,0021700701,2017-18
01/22/2018 Bulls at Pelicans,0021700692,2017-18
01/20/2018 Grizzlies at Pelicans,0021700677,2017-18
01/17/2018 Pelicans at Hawks,0021700654,2017-18
01/16/2018 Pelicans at Celtics,0021700650,2017-18
01/14/2018 Pelicans at Knicks,0021700635,2017-18
01/12/2018 Trail Blazers at Pelicans,0021700624,2017-18
01/10/2018 Pelicans at Grizzlies,0021700609,2017-18
01/08/2018 Pistons at Pelicans,0021700595,2017-18
01/06/2018 Pelicans at Timberwolves,0021700584,2017-18
01/03/2018 Pelicans at Jazz,0021700564,2017-18
12/30/2017 Knicks at Pelicans,0021700532,2017-18
12/29/2017 Mavericks at Pelicans,0021700525,2017-18
12/27/2017 Nets at Pelicans,0021700511,2017-18
12/23/2017 Pelicans at Heat,0021700486,2017-18
12/22/2017 Pelicans at Magic,0021700472,2017-18
12/19/2017 Pelicans at Wizards,0021700452,2017-18
12/15/2017 Pelicans at Nuggets,0021700427,2017-18
12/13/2017 Bucks at Pelicans,0021700410,2017-18
12/11/2017 Pelicans at Rockets,0021700392,2017-18
12/10/2017 76ers at Pelicans,0021700389,2017-18
12/08/2017 Kings at Pelicans,0021700373,2017-18
12/06/2017 Nuggets at Pelicans,0021700360,2017-18
12/04/2017 Warriors at Pelicans,0021700346,2017-18
12/02/2017 Pelicans at Trail Blazers,0021700333,2017-18
12/01/2017 Pelicans at Jazz,0021700325,2017-18
11/29/2017 Timberwolves at Pelicans,0021700309,2017-18
11/25/2017 Pelicans at Warriors,0021700284,2017-18
11/24/2017 Pelicans at Suns,0021700275,2017-18
11/22/2017 Spurs at Pelicans,0021700262,2017-18
11/20/2017 Thunder at Pelicans,0021700248,2017-18
11/17/2017 Pelicans at Nuggets,0021700226,2017-18
11/15/2017 Raptors at Pelicans,0021700211,2017-18
11/13/2017 Hawks at Pelicans,0021700195,2017-18
11/11/2017 Clippers at Pelicans,0021700178,2017-18
11/09/2017 Pelicans at Raptors,0021700165,2017-18
11/07/2017 Pelicans at Pacers,0021700150,2017-18
11/04/2017 Pelicans at Bulls,0021700133,2017-18
11/03/2017 Pelicans at Mavericks,0021700125,2017-18
11/01/2017 Timberwolves at Pelicans,0021700113,2017-18
10/30/2017 Magic at Pelicans,0021700097,2017-18
10/28/2017 Cavaliers at Pelicans,0021700077,2017-18
10/26/2017 Pelicans at Kings,0021700069,2017-18
10/24/2017 Pelicans at Trail Blazers,0021700053,2017-18
10/22/2017 Pelicans at Lakers,0021700040,2017-18
10/20/2017 Warriors at Pelicans,0021700025,2017-18
10/18/2017 Pelicans at Grizzlies,0021700008,2017-18
04/11/2018 Pistons at Bulls,0021701224,2017-18
04/09/2018 Bulls at Nets,0021701205,2017-18
04/07/2018 Nets at Bulls,0021701193,2017-18
04/06/2018 Bulls at Celtics,0021701185,2017-18
04/03/2018 Hornets at Bulls,0021701160,2017-18
04/01/2018 Wizards at Bulls,0021701144,2017-18
03/30/2018 Bulls at Magic,0021701129,2017-18
03/29/2018 Bulls at Heat,0021701125,2017-18
03/27/2018 Bulls at Rockets,0021701111,2017-18
03/24/2018 Bulls at Pistons,0021701089,2017-18
03/23/2018 Bucks at Bulls,0021701083,2017-18
03/21/2018 Nuggets at Bulls,0021701069,2017-18
03/19/2018 Bulls at Knicks,0021701055,2017-18
03/17/2018 Cavaliers at Bulls,0021701039,2017-18
03/15/2018 Bulls at Grizzlies,0021701024,2017-18
03/13/2018 Clippers at Bulls,0021701010,2017-18
03/11/2018 Bulls at Hawks,0021700993,2017-18
03/09/2018 Bulls at Pistons,0021700977,2017-18
03/07/2018 Grizzlies at Bulls,0021700967,2017-18
03/05/2018 Celtics at Bulls,0021700953,2017-18
03/02/2018 Mavericks at Bulls,0021700930,2017-18
02/27/2018 Bulls at Hornets,0021700907,2017-18
02/26/2018 Bulls at Nets,0021700899,2017-18
02/24/2018 Bulls at Timberwolves,0021700888,2017-18
02/22/2018 76ers at Bulls,0021700870,2017-18
02/14/2018 Raptors at Bulls,0021700859,2017-18
02/12/2018 Magic at Bulls,0021700844,2017-18
02/10/2018 Wizards at Bulls,0021700829,2017-18
02/09/2018 Timberwolves at Bulls,0021700822,2017-18
02/05/2018 Bulls at Kings,0021700795,2017-18
