CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,8,1,5,240,0,43,87,0.494,11,32,0.344,20,27,0.741,9,37,54,28,17,7,11,2,117,54.0,117.0,0,0.6068376068376068,8.0,2017-18,2018-03-08,21700974
Chicago,Bulls,1610612741,0,1,0,1,0,0,1,9,1,5,240,0,32,81,0.395,12,33,0.364,13,20,0.65,7,29,45,18,16,14,14,1,89,45.0,89.0,0,0.4716981132075472,-16.0,2017-18,2018-03-05,21700953
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,2,2,1,5,240,0,41,84,0.488,12,36,0.333,11,12,0.917,12,41,55,25,13,7,20,4,105,55.0,105.0,0,0.5641025641025641,16.0,2017-18,2018-03-05,21700953
Houston,Rockets,1610612745,1,0,1,0,0,0,1,10,1,5,240,0,39,87,0.448,19,49,0.388,26,30,0.867,10,30,50,24,21,11,11,5,123,50.0,123.0,0,0.5625,3.0,2017-18,2018-03-03,21700939
OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,0,13,1,5,240,0,44,91,0.484,13,24,0.542,19,21,0.905,10,28,51,22,21,6,13,3,120,51.0,120.0,0,0.5689655172413793,-3.0,2017-18,2018-03-03,21700939
Boston,Celtics,1610612738,1,0,1,0,0,0,1,7,1,5,240,0,54,87,0.621,12,20,0.6,14,15,0.933,4,43,54,31,20,3,11,4,134,54.0,134.0,0,0.68,28.0,2017-18,2018-02-28,21700916
OPPONENTS, Hornets,1610612766,0,1,0,0,0,1,0,5,1,5,240,0,42,91,0.462,9,27,0.333,13,22,0.591,9,24,38,24,17,6,7,6,106,38.0,106.0,0,0.584070796460177,-28.0,2017-18,2018-02-28,21700916
Boston,Celtics,1610612738,1,0,1,0,0,0,0,10,1,5,240,0,39,86,0.453,12,37,0.324,19,27,0.704,9,35,54,25,23,5,8,5,109,54.0,109.0,0,0.5818181818181818,11.0,2017-18,2018-02-26,21700898
OPPONENTS, Grizzlies,1610612763,0,1,0,0,0,1,0,12,1,5,240,0,34,78,0.436,5,23,0.217,25,32,0.781,5,35,52,27,22,4,10,2,98,52.0,98.0,0,0.5545454545454546,-11.0,2017-18,2018-02-26,21700898
New York,Knicks,1610612752,0,1,0,1,0,0,0,7,1,5,240,0,45,96,0.469,6,27,0.222,16,20,0.8,13,36,56,20,22,10,14,4,112,56.0,112.0,0,0.5555555555555556,-9.0,2017-18,2018-02-24,21700886
